date,hour,temperature_c
2025-12-11,0,12.299999999999999
2025-12-11,1,11.666666666666666
2025-12-11,2,11.133333333333333
2025-12-11,3,10.5
2025-12-11,4,10.133333333333335
2025-12-11,5,10.200000000000001
2025-12-11,6,9.833333333333334
2025-12-11,7,10.4
2025-12-11,8,13.5
2025-12-11,9,15.5
2025-12-11,10,16.5
2025-12-11,11,17.266666666666666
2025-12-11,12,18.066666666666666
2025-12-11,13,18.599999999999998
2025-12-11,14,18.766666666666666
2025-12-11,15,18.733333333333334
2025-12-11,16,18.466666666666665
2025-12-11,17,17.533333333333335
2025-12-11,18,15.933333333333332
2025-12-11,19,14.866666666666667
2025-12-11,20,14.1
2025-12-11,21,13.433333333333332
2025-12-11,22,12.766666666666666
2025-12-11,23,11.966666666666667
